Technique,Variable,Training_Test,Precision,Recall,F1,Accuracy,Time_t,Time_d
HBOS,3,80/20,0.9070904645476773,0.802451333813987,0.8515684774292273,0.9720299884659747,00:00:00.038998,00:00:01.954869
LOF,20/0.2,80/20,0.4925937598487236,0.5634462869502523,0.5256431814360182,0.8983203575547867,00:00:00,00:00:00.159360
Autoencoder,1,80/20,1.0,0.9899062725306417,0.9949275362318841,0.9989907727797002,00:00:35.787552,00:00:05.334949
Percentile,90/10,80/20,0.9973494888299886,0.9495313626532084,0.9728531855955679,0.9947015570934256,00:00:00,00:00:01.793463
HBOS,3,80/20,0.9040322580645161,0.8082191780821918,0.8534449942900647,0.9722462514417531,00:00:00.038998,00:00:03.207189
LOF,20/0.2,80/20,0.4892623716153128,0.5666906993511175,0.5251377985635544,0.8975273933102653,00:00:00,00:00:00.262734
Autoencoder,1,80/20,1.0,0.9920692141312184,0.9960188201230546,0.9992070357554786,00:00:35.787552,00:00:07.615474
Percentile,90/10,80/20,0.993563044301401,0.9459264599855803,0.9691597414589105,0.9939806805074971,00:00:00,00:00:01.027044
HBOS,3,80/20,0.906187624750499,0.8183129055515501,0.8600113657889752,0.9733636101499423,00:00:00.038998,00:00:01.889533
LOF,20/0.2,80/20,0.4983755685510071,0.5529920692141312,0.5242652084757348,0.8996539792387543,00:00:00,00:00:00.184532
Autoencoder,1,80/20,1.0,0.9884643114635905,0.994198694706309,0.9988465974625144,00:00:35.787552,00:00:05.197585
Percentile,90/10,80/20,0.9962149886449659,0.9488103821196827,0.9719350073855244,0.9945213379469435,00:00:00,00:00:01.399534
HBOS,3,80/20,0.9100850546780073,0.8100216294160058,0.8571428571428572,0.973003171856978,00:00:00.038998,00:00:02.543548
LOF,20/0.2,80/20,0.47688410386320457,0.5428983417447729,0.5077545515846258,0.8947520184544406,00:00:00,00:00:00.197321
Autoencoder,1,80/20,1.0,0.9895457822638789,0.9947454248958145,0.9989547289504037,00:00:35.787552,00:00:05.636479
Percentile,90/10,80/20,0.9920963492660896,0.9502523431867339,0.9707236236420548,0.9942690311418685,00:00:00,00:00:01.134623
HBOS,3,80/20,0.9030327214684757,0.8157894736842105,0.8571969696969697,0.972822952710496,00:00:00.038998,00:00:02.078356
LOF,20/0.2,80/20,0.5004574565416285,0.5915645277577506,0.542210474145052,0.9001225490196079,00:00:00,00:00:00.167370
Autoencoder,1,80/20,1.0,0.9870223503965393,0.9934687953555877,0.9987024221453287,00:00:35.787552,00:00:05.751844
Percentile,90/10,80/20,0.9947585174092101,0.9578226387887527,0.975941230486685,0.9952782583621684,00:00:00,00:00:01.588806
HBOS,3,80/20,0.8989979959919839,0.8085796683489546,0.8513949516037199,0.9717776816608996,00:00:00.038998,00:00:02.689134
LOF,20/0.2,80/20,0.5027768703038222,0.5547945205479452,0.5275064267352184,0.9006271626297578,00:00:00,00:00:00.210930
Autoencoder,1,80/20,1.0,0.9902667627974044,0.9951095815975367,0.9990268166089965,00:00:35.787552,00:00:05.177646
Percentile,90/10,80/20,0.99702712746191,0.9671953857245854,0.9818847209515096,0.996431660899654,00:00:00,00:00:01.095258
HBOS,3,80/20,0.8966626457579413,0.8038932948810382,0.8477475765063676,0.9711288927335641,00:00:00.038998,00:00:01.968039
LOF,20/0.2,80/20,0.47779187817258884,0.5428983417447729,0.508268646641917,0.8949682814302191,00:00:00,00:00:00.184526
Autoencoder,1,80/20,1.0,0.9888248017303533,0.9943810041689323,0.9988826412918108,00:00:35.787552,00:00:05.616079
Percentile,90/10,80/20,0.9930275229357798,0.9754866618601298,0.9841789416257501,0.996864186851211,00:00:00,00:00:01.207384
HBOS,3,80/20,0.8930817610062893,0.8190338860850757,0.8544565626175253,0.9721020761245674,00:00:00.038998,00:00:02.053638
LOF,20/0.2,80/20,0.47264,0.5324441240086518,0.5007628411595185,0.89385092272203,00:00:00,00:00:00.156486
Autoencoder,1,80/20,1.0,0.9881038211968277,0.9940163191296465,0.998810553633218,00:00:35.787552,00:00:04.959581
Percentile,90/10,80/20,0.9970282317979198,0.9675558759913482,0.9820709842663738,0.9964677047289504,00:00:00,00:00:01.045677
HBOS,3,80/20,0.8987138263665595,0.806056236481615,0.8498669707335613,0.9715253748558247,00:00:00.038998,00:00:01.824041
LOF,20/0.2,80/20,0.4987309644670051,0.5666906993511175,0.5305433682078974,0.8997260668973471,00:00:00,00:00:00.188166
Autoencoder,1,80/20,1.0,0.9899062725306417,0.9949275362318841,0.9989907727797002,00:00:35.787552,00:00:05.019444
Percentile,90/10,80/20,0.9895444361463779,0.9552992069214131,0.9721203228173148,0.9945213379469435,00:00:00,00:00:00.950140
HBOS,3,80/20,0.8977596741344196,0.7945205479452054,0.8429910116657103,0.9704080161476355,00:00:00.038998,00:00:01.767475
LOF,20/0.2,80/20,0.47836990595611284,0.5501081470800289,0.5117370892018779,0.895040369088812,00:00:00,00:00:00.150498
Autoencoder,1,80/20,1.0,0.9873828406633021,0.9936513694902956,0.9987384659746251,00:00:35.787552,00:00:05.022772
Percentile,90/10,80/20,0.9944196428571429,0.9635904830569575,0.9787623581105823,0.9958189158016147,00:00:00,00:00:01.076999
HBOS,3,80/20,0.8997584541062802,0.8056957462148522,0.8501331304678584,0.9715974625144176,00:00:00.038998,00:00:01.974622
LOF,20/0.2,80/20,0.5009469696969697,0.5720980533525595,0.5341635812857624,0.9002306805074971,00:00:00,00:00:00.167241
Autoencoder,1,80/20,1.0,0.9863013698630136,0.993103448275862,0.9986303344867359,00:00:35.787552,00:00:05.254858
Percentile,90/10,80/20,0.9973763118440779,0.9592645998558039,0.9779492833517088,0.995674740484429,00:00:00,00:00:01.184433
HBOS,3,80/20,0.897640943622551,0.8093006488824802,0.8511848341232227,0.9717055940023068,00:00:00.038998,00:00:02.037702
LOF,20/0.2,80/20,0.48291000313577925,0.555155010814708,0.5165185309408016,0.8960856401384083,00:00:00,00:00:00.168417
Autoencoder,1,80/20,1.0,0.9873828406633021,0.9936513694902956,0.9987384659746251,00:00:35.787552,00:00:05.149634
Percentile,90/10,80/20,0.995045731707317,0.941240086517664,0.9673953316042979,0.9936562860438293,00:00:00,00:00:01.054142
HBOS,3,80/20,0.901471790678659,0.7948810382119683,0.8448275862068966,0.9708044982698962,00:00:00.038998,00:00:01.989758
