Technique,Variable,Training_Test,Precision,Recall,F1,Accuracy,Time_t,Time_d
Percentile,90/10,70/30,0.9956867196367764,0.9578510591832278,0.9764024933214603,0.9953704714694386,00:00:00,00:00:01.434872
HBOS,3,70/30,0.9010962241169306,0.8078183009390697,0.8519115614923998,0.9719171052344244,00:00:00.031341,00:00:02.594073
LOF,20/0.2,70/30,0.5057854481270837,0.5632234112251583,0.5329613556519942,0.9012949577446334,00:00:00,00:00:00.221164
Autoencoder,1,70/30,1.0,0.9574142825944529,0.9782438915541671,0.9957417072478326,00:00:44.811647,00:00:03.741056
Percentile,90/10,70/30,0.9952076677316294,0.9523913518235423,0.9733288695458097,0.9947808617037538,00:00:00,00:00:01.374771
HBOS,3,70/30,0.9041901494731683,0.8058528062895829,0.8521939953810623,0.9720481296267989,00:00:00.031341,00:00:02.439942
LOF,20/0.2,70/30,0.49184324020251263,0.5728324961782049,0.5292574656981436,0.8981066975301902,00:00:00,00:00:00.209091
Autoencoder,1,70/30,1.0,0.9589430006551649,0.979041248606466,0.995894569038936,00:00:44.811647,00:00:03.824435
Percentile,90/10,70/30,0.9956916099773243,0.9589430006551649,0.9769718544888197,0.9954796584630838,00:00:00,00:00:01.416657
HBOS,3,70/30,0.897801401304663,0.8115309019436558,0.8524891030052766,0.9719171052344244,00:00:00.031341,00:00:02.396251
LOF,20/0.2,70/30,0.47750799924712967,0.5540511028608867,0.5129397492923574,0.8947874129233726,00:00:00,00:00:00.210526
Autoencoder,1,70/30,1.0,0.9617820484822014,0.9805187576533453,0.9961784552224139,00:00:44.811647,00:00:03.777006
Percentile,90/10,70/30,0.9914667896678967,0.9388512775715222,0.9644419517666853,0.9930775446028869,00:00:00,00:00:01.401128
HBOS,3,70/30,0.9056512248362842,0.8154618912426294,0.8581935187313262,0.9730526499683357,00:00:00.031341,00:00:02.675135
LOF,20/0.2,70/30,0.5066152149944874,0.6020965276261192,0.5502444865781858,0.9015788439281113,00:00:00,00:00:00.216095
Autoencoder,1,70/30,1.0,0.9582878357720026,0.9786996765919482,0.9958290568427489,00:00:44.811647,00:00:03.848303
Percentile,90/10,70/30,0.9909481783208871,0.9563223411225158,0.9733274060902422,0.9947590243050248,00:00:00,00:00:01.402961
HBOS,3,70/30,0.8976857490864799,0.8047608648176457,0.8486872409028097,0.9713056580700107,00:00:00.031341,00:00:02.474597
LOF,20/0.2,70/30,0.5015968438850272,0.5830967460144136,0.539284992930721,0.9003777869980127,00:00:00,00:00:00.208872
Autoencoder,1,70/30,1.0,0.9600349421271019,0.9796100278551532,0.9960037560325814,00:00:44.811647,00:00:03.763283
Percentile,90/10,70/30,0.9952348536419333,0.9578510591832278,0.9761851769419098,0.9953267966719804,00:00:00,00:00:01.312245
HBOS,3,70/30,0.901123046875,0.8060711945839703,0.8509510086455332,0.971764243443321,00:00:00.031341,00:00:02.541864
