Technique,Variable,Training_Test,Precision,Recall,F1,Accuracy,Time_t,Time_d
Autoencoder,1,60/40,1.0,0.977589641434263,0.9886678418534374,0.9977590757432399,00:00:14.279853,00:00:05.147264
HBOS,3,60/40,0.8964950711938664,0.8152390438247012,0.8539384454877413,0.9721129425825407,00:00:00.046934,00:00:04.995557
Percentile,90/10,60/40,0.9915764139590855,0.9575033200531209,0.9742420403682122,0.994937171123616,00:00:00,00:00:02.735144
Autoencoder,1,60/40,1.0,0.977257636122178,0.9884980270338344,0.997725876865362,00:00:14.279853,00:00:04.987404
HBOS,3,60/40,0.8973831775700934,0.7969787516600265,0.8442060840513451,0.970585794200156,00:00:00.046934,00:00:05.054661
Percentile,90/10,60/40,0.9932654118459678,0.9548472775564409,0.973677528565383,0.9948375744899822,00:00:00,00:00:02.844716
Autoencoder,1,60/40,1.0,0.976261620185923,0.9879882402351953,0.9976262802317282,00:00:14.279853,00:00:04.988421
HBOS,3,60/40,0.896916621054552,0.8160690571049137,0.8545849630595393,0.9722291386551135,00:00:00.046934,00:00:04.793182
Percentile,90/10,60/40,0.9918303493829307,0.9472111553784861,0.9690073872802921,0.9939412047872782,00:00:00,00:00:03.201007
Autoencoder,1,60/40,1.0,0.9805776892430279,0.990193613276339,0.9980578656441412,00:00:14.279853,00:00:05.147966
HBOS,3,60/40,0.8951061865189289,0.8046148738379814,0.8474517003234547,0.971033979051508,00:00:00.046934,00:00:05.729249
Percentile,90/10,60/40,0.994322092222987,0.9593293492695883,0.9765123352483948,0.995385355974968,00:00:00,00:00:03.952939
Autoencoder,1,60/40,1.0,0.9767596281540505,0.9882431978501848,0.997676078548545,00:00:14.279853,00:00:05.127403
HBOS,3,60/40,0.8979135618479881,0.800132802124834,0.8462078651685393,0.9709177829789353,00:00:00.046934,00:00:04.991206
Percentile,90/10,60/40,0.9952879581151832,0.9467131474103586,0.970393057682491,0.9942233952492405,00:00:00,00:00:02.745016
Autoencoder,1,60/40,1.0,0.9780876494023905,0.9889224572004028,0.9978088740600568,00:00:14.279853,00:00:04.975878
HBOS,3,60/40,0.9010142749812171,0.7963147410358565,0.8454353189989425,0.9708845841010574,00:00:00.046934,00:00:04.941342
Percentile,90/10,60/40,0.9965259683863124,0.9523572377158035,0.9739410915881506,0.9949039722457381,00:00:00,00:00:02.942981
Autoencoder,1,60/40,1.0,0.9780876494023905,0.9889224572004028,0.9978088740600568,00:00:14.279853,00:00:04.976012
HBOS,3,60/40,0.8955823293172691,0.8144090305444888,0.8530690314727875,0.9719469481931511,00:00:00.046934,00:00:04.951148
Percentile,90/10,60/40,0.9919202337974902,0.9578353253652059,0.9745798496748586,0.9950035688793719,00:00:00,00:00:02.797560
Autoencoder,1,60/40,1.0,0.9805776892430279,0.990193613276339,0.9980578656441412,00:00:14.279853,00:00:05.175221
HBOS,3,60/40,0.9009809365167499,0.8081009296148738,0.8520171523584493,0.9719303487542121,00:00:00.046934,00:00:04.933535
Percentile,90/10,60/40,0.9958311620635748,0.9516932270916335,0.9732620320855615,0.9947711767342264,00:00:00,00:00:02.690087
Autoencoder,1,70/30,1.0,0.9710661028266192,0.9853206865401988,0.9971066102826619,00:00:16.953045,00:00:05.624929
HBOS,3,70/30,0.9002925402242808,0.8219452481638104,0.8593368237347296,0.9730914756287559,00:00:00.063680,00:00:03.780240
Percentile,90/10,70/30,0.9930651872399445,0.9561540173603383,0.9742601201950335,0.9949476964166482,00:00:00,00:00:02.425498
Autoencoder,1,70/30,1.0,0.9719563765858001,0.9857787810383747,0.99719563765858,00:00:16.953045,00:00:05.358438
HBOS,3,70/30,0.8997980817768804,0.79345648787002,0.8432879952690715,0.9705096817271311,00:00:00.063680,00:00:03.908710
Percentile,90/10,70/30,0.9963048498845266,0.9601602492766526,0.9778986739204353,0.9956599154239929,00:00:00,00:00:02.294898
Autoencoder,1,70/30,1.0,0.9710661028266192,0.9853206865401988,0.9971066102826619,00:00:16.953045,00:00:05.232920
HBOS,3,70/30,0.8920524882396633,0.801914088582239,0.8445850914205345,0.9704874248831515,00:00:00.063680,00:00:04.722349
Percentile,90/10,70/30,0.9951612903225806,0.9612730914756288,0.9779236952337825,0.9956599154239929,00:00:00,00:00:02.811359
Autoencoder,1,70/30,1.0,0.9706209659470287,0.9850914840749944,0.9970620965947029,00:00:16.953045,00:00:05.249105
HBOS,3,70/30,0.9001942690626518,0.8250612063209437,0.8609917547323193,0.9733585577565101,00:00:00.063680,00:00:03.932790
Percentile,90/10,70/30,0.9974537037037037,0.9590474070776764,0.9778735958243504,0.9956599154239929,00:00:00,00:00:02.251661
Autoencoder,1,70/30,1.0,0.9724015134653906,0.9860076732114647,0.9972401513465391,00:00:16.953045,00:00:05.033796
HBOS,3,70/30,0.897084475454772,0.8012463832628534,0.8464613214201739,0.970932561762742,00:00:00.063680,00:00:03.801720
Percentile,90/10,70/30,0.9958601655933763,0.9637213443133764,0.9795272028051125,0.9959715112397062,00:00:00,00:00:02.305644
Autoencoder,1,70/30,1.0,0.9701758290674383,0.9848621780388613,0.9970175829067438,00:00:16.953045,00:00:05.206464
HBOS,3,70/30,0.8942140551278868,0.8014689517026485,0.8453051643192488,0.9706654796349877,00:00:00.063680,00:00:03.772477
Percentile,90/10,70/30,0.9910529938059188,0.961495659915424,0.9760506100316313,0.9952815490763409,00:00:00,00:00:02.333811
Autoencoder,1,70/30,1.0,0.9770754507010906,0.9884048181920523,0.9977075450701091,00:00:16.953045,00:00:05.158916
HBOS,3,70/30,0.8995805576116457,0.8114845314934342,0.8532646852328575,0.9720899176496772,00:00:00.063680,00:00:03.903584
Percentile,90/10,70/30,0.989819527996298,0.952147785444024,0.9706182643221781,0.9942354774093034,00:00:00,00:00:02.287640
Autoencoder,1,70/30,1.0,0.9777431560204763,0.9887463425613324,0.9977743156020477,00:00:16.953045,00:00:05.193969
HBOS,3,70/30,0.9034431137724551,0.8059203204985533,0.8518997764968828,0.9719786334297796,00:00:00.063680,00:00:03.847542
Percentile,90/10,70/30,0.9923522595596755,0.953038059203205,0.9722979109900091,0.9945693300689962,00:00:00,00:00:02.367086
Autoencoder,1,70/30,1.0,0.969953260627643,0.984747486159756,0.9969953260627643,00:00:16.953045,00:00:05.075533
